table_name,column_name,data_type,is_nullable
Collection,collection_name,text,YES
Collection,id,bigint,NO
Collection,created_at,timestamp with time zone,NO
applicable_vouchers,max_discount,numeric,YES
applicable_vouchers,is_active,boolean,YES
applicable_vouchers,discount_type,character varying,YES
applicable_vouchers,id,uuid,YES
applicable_vouchers,code,text,YES
applicable_vouchers,expired_at,timestamp with time zone,YES
applicable_vouchers,voucher_type,character varying,YES
applicable_vouchers,discount_value,numeric,YES
applicable_vouchers,conditions,jsonb,YES
banners,id,uuid,NO
banners,subtitle,text,YES
banners,action_type,text,NO
banners,title,text,YES
banners,updated_at,timestamp with time zone,YES
banners,created_at,timestamp with time zone,YES
banners,image_url,text,NO
banners,end_date,timestamp with time zone,YES
banners,start_date,timestamp with time zone,YES
banners,is_active,boolean,YES
banners,display_order,integer,YES
banners,action_value,text,YES
cart_item_inventory_log,status,character varying,NO
cart_item_inventory_log,checked_at,timestamp with time zone,YES
cart_item_inventory_log,quantity_available,integer,NO
cart_item_inventory_log,quantity_requested,integer,NO
cart_item_inventory_log,product_id,integer,NO
cart_item_inventory_log,cart_item_id,uuid,NO
cart_item_inventory_log,id,uuid,NO
cart_items,size,text,YES
cart_items,shop_voucher_id,uuid,YES
cart_items,is_selected,boolean,NO
cart_items,updated_at,timestamp with time zone,YES
cart_items,created_at,timestamp with time zone,YES
cart_items,quantity,integer,YES
cart_items,product_id,bigint,NO
cart_items,user_id,uuid,NO
cart_items,id,uuid,NO
cart_items,color,text,YES
categories,slug,text,YES
categories,group,text,YES
categories,id,bigint,NO
categories,image_url,text,YES
categories,is_active,boolean,YES
categories,display_order,integer,YES
categories,parent_id,bigint,YES
categories,name_vi,text,YES
categories,created_at,timestamp with time zone,YES
categories,name,text,NO
conversations,id,bigint,NO
conversations,is_active,boolean,YES
conversations,created_at,timestamp with time zone,YES
conversations,user_id,uuid,YES
membership_levels,id,uuid,NO
membership_levels,level_name,text,NO
membership_levels,benefit_percentage,numeric,YES
membership_levels,min_spending,numeric,NO
membership_levels,created_at,timestamp with time zone,YES
messages,sender_id,uuid,YES
messages,content,text,NO
messages,created_at,timestamp with time zone,YES
messages,is_ai,boolean,YES
messages,conversation_id,bigint,YES
