local_table,local_column,foreign_table,foreign_column,constraint_name
products,category_id,categories,id,products_category_id_fkey
order_items,order_id,orders,id,order_items_order_id_fkey
order_items,product_id,products,id,order_items_product_id_fkey
messages,conversation_id,conversations,id,messages_conversation_id_fkey
cart_items,product_id,products,id,cart_items_product_id_fkey
cart_items,shop_voucher_id,vouchers,id,cart_items_shop_voucher_id_fkey
orders,platform_voucher_id,vouchers,id,orders_platform_voucher_id_fkey
order_vouchers,order_id,orders,id,order_vouchers_order_id_fkey
order_vouchers,voucher_id,vouchers,id,order_vouchers_voucher_id_fkey
cart_item_inventory_log,cart_item_id,cart_items,id,cart_item_inventory_log_cart_item_id_fkey
cart_item_inventory_log,product_id,products,id,cart_item_inventory_log_product_id_fkey
reviews,product_id,products,id,reviews_product_id_fkey
reviews,order_id,orders,id,reviews_order_id_fkey
wishlist,product_id,products,id,wishlist_product_id_fkey
categories,parent_id,categories,id,categories_parent_id_fkey
user_vouchers,user_id,profiles,id,user_vouchers_user_id_fkey
user_vouchers,voucher_id,vouchers,id,user_vouchers_voucher_id_fkey
reviews,user_id,profiles,id,reviews_user_id_fkey
user_addresses,user_id,profiles,id,user_addresses_user_id_fkey
orders,address_id,user_addresses,id,orders_address_id_fkey
reviews,order_item_id,order_items,id,reviews_order_item_id_fkey
product_variants,product_id,products,id,product_variants_product_id_fkey
product_view_history,product_id,products,id,product_view_history_product_id_fkey
product_discounts,product_id,products,id,product_discounts_product_id_fkey
profiles,membership_level_id,membership_levels,id,profiles_membership_level_id_fkey
product_images,product_id,products,id,product_images_product_id_fkey
product_images,variant_id,product_variants,id,product_images_variant_id_fkey
order_vouchers,applied_on_item_id,order_items,id,order_vouchers_applied_on_item_id_fkey
user_vouchers,order_id,orders,id,user_vouchers_order_id_fkey
return_requests,order_id,orders,id,return_requests_order_id_fkey
return_items,return_request_id,return_requests,id,return_items_return_request_id_fkey
return_items,order_item_id,order_items,id,return_items_order_item_id_fkey
return_items,product_id,products,id,return_items_product_id_fkey
order_items,return_request_id,return_requests,id,order_items_return_request_id_fkey
orders,active_return_id,return_requests,id,orders_active_return_id_fkey
return_requests,profiles_id,profiles,id,return_requests_profiles_id_fkey
banner_product_slots,banner_id,banners,id,banner_product_slots_banner_id_fkey
banner_product_slots,product_id,products,id,banner_product_slots_product_id_fkey
account_lock_logs,user_id,profiles,id,account_lock_logs_user_id_fkey
